"","Country.Territory","Status_2002","PR.Rating_2002","CL.Rating_2002","PR.Aggr_2002","CL.Aggr_2002","Status_2003","PR.Rating_2003","CL.Rating_2003","PR.Aggr_2003","CL.Aggr_2003","Status_2004","PR.Rating_2004","CL.Rating_2004","PR.Aggr_2004","CL.Aggr_2004","Status_2005","PR.Rating_2005","CL.Rating_2005","PR.Aggr_2005","CL.Aggr_2005","Total.Aggr_2005","Status_2006","PR.Rating_2006","CL.Rating_2006","PR.Aggr_2006","CL.Aggr_2006","Total.Aggr_2006","Status_2007","PR.Rating_2007","CL.Rating_2007","PR.Aggr_2007","CL.Aggr_2007","Total.Aggr_2007","Status_2008","PR.Rating_2008","CL.Rating_2008","PR.Aggr_2008","CL.Aggr_2008","Total.Aggr_2008","Status_2009","PR.Rating_2009","CL.Rating_2009","PR.Aggr_2009","CL.Aggr_2009","Total.Aggr_2009","Status_2010","PR.Rating_2010","CL.Rating_2010","PR.Aggr_2010","CL.Aggr_2010","Total.Aggr_2010","Status_2011","PR.Rating_2011","CL.Rating_2011","PR.Aggr_2011","CL.Aggr_2011","Total.Aggr_2011","Status_2012","PR.Rating_2012","CL.Rating_2012","PR.Aggr_2012","CL.Aggr_2012","Total.Aggr_2012","Status_2013","PR.Rating_2013","CL.Rating_2013","PR.Aggr_2013","CL.Aggr_2013","Total.Aggr_2013","Status_2014","PR.Rating_2014","CL.Rating_2014","PR.Aggr_2014","CL.Aggr_2014","Total.Aggr_2014","Status_2015","PR.Rating_2015","CL.Rating_2015","PR.Aggr_2015","CL.Aggr_2015","Total.Aggr_2015","Status_2016","PR.Rating_2016","CL.Rating_2016","PR.Aggr_2016","CL.Aggr_2016","Total.Aggr_2016","Status_2017","PR.Rating_2017","CL.Rating_2017","PR.Aggr_2017","CL.Aggr_2017","Total.Aggr_2017"
"168","Sri Lanka","PF",3,4,26,33,"PF",3,3,25,37,"PF",3,3,25,36,"PF",3,3,24,35,59,"PF",4,4,23,33,56,"PF",4,4,21,31,52,"PF",4,4,21,31,52,"PF",4,4,22,30,52,"PF",5,4,17,28,45,"PF",5,4,17,28,45,"PF",5,4,16,27,43,"PF",5,4,16,26,42,"PF",5,5,16,25,41,"PF",4,4,23,32,55,"PF",3,4,24,32,56,"PF",3,4,24,31,55
"169","St. Kitts and Nevis","F",1,2,36,51,"F",1,2,36,50,"F",1,2,36,50,"F",1,1,38,53,91,"F",1,1,38,53,91,"F",1,1,39,53,92,"F",1,1,39,53,92,"F",1,1,39,53,92,"F",1,1,39,53,92,"F",1,1,39,53,92,"F",1,1,38,53,91,"F",1,1,37,53,90,"F",1,1,37,53,90,"F",2,1,35,53,88,"F",1,1,36,53,89,"F",1,1,36,53,89
"170","St. Lucia","F",1,2,38,50,"F",1,2,37,48,"F",1,2,37,48,"F",1,1,38,53,91,"F",1,1,38,53,91,"F",1,1,39,53,92,"F",1,1,39,53,92,"F",1,1,39,53,92,"F",1,1,39,53,92,"F",1,1,39,53,92,"F",1,1,39,54,93,"F",1,1,39,53,92,"F",1,1,39,53,92,"F",1,1,39,53,92,"F",1,1,39,53,92,"F",1,1,38,53,91
"171","St. Vincent and the Grenadines","F",2,1,32,54,"F",2,1,31,53,"F",2,1,31,53,"F",2,1,32,53,85,"F",2,1,34,53,87,"F",2,1,35,53,88,"F",2,1,35,53,88,"F",2,1,35,53,88,"F",1,1,36,53,89,"F",1,1,36,53,89,"F",1,1,36,53,89,"F",1,1,36,53,89,"F",1,1,36,54,90,"F",1,1,37,54,91,"F",1,1,37,54,91,"F",1,1,36,54,90
"172","Sudan","NF",7,7,0,3,"NF",7,7,1,7,"NF",7,7,0,6,"NF",7,7,1,6,7,"NF",7,7,3,7,10,"NF",7,7,3,7,10,"NF",7,7,3,7,10,"NF",7,7,3,6,9,"NF",7,7,5,6,11,"NF",7,7,2,4,6,"NF",7,7,2,5,7,"NF",7,7,2,5,7,"NF",7,7,2,4,6,"NF",7,7,2,4,6,"NF",7,7,2,4,6,"NF",7,7,4,4,8
"173","Suriname","F",1,2,36,46,"F",1,2,36,46,"F",1,2,36,47,"F",2,2,33,45,78,"F",2,2,32,45,77,"F",2,2,33,45,78,"F",2,2,33,45,78,"F",2,2,33,45,78,"F",2,2,33,45,78,"F",2,2,33,45,78,"F",2,2,33,44,77,"F",2,2,33,44,77,"F",2,2,33,44,77,"F",2,3,34,43,77,"F",2,3,34,43,77,"F",2,2,34,44,78
"174","Swaziland","NF",6,5,8,25,"NF",7,5,2,19,"NF",7,5,1,19,"NF",7,5,1,20,21,"NF",7,5,3,20,23,"NF",7,5,3,20,23,"NF",7,5,3,20,23,"NF",7,5,3,21,24,"NF",7,5,3,20,23,"NF",7,5,1,20,21,"NF",7,5,1,20,21,"NF",7,5,1,19,20,"NF",7,5,1,17,18,"NF",7,5,1,17,18,"NF",7,5,1,17,18,"NF",7,6,1,15,16
"175","Sweden","F",1,1,40,59,"F",1,1,40,60,"F",1,1,40,60,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,59,99,"F",1,1,40,59,99,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100
"176","Switzerland","F",1,1,40,60,"F",1,1,40,60,"F",1,1,40,60,"F",1,1,40,59,99,"F",1,1,40,59,99,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,57,96
"177","Syria","NF",7,7,1,5,"NF",7,7,1,6,"NF",7,7,1,7,"NF",7,7,1,7,8,"NF",7,6,1,8,9,"NF",7,6,1,8,9,"NF",7,6,1,8,9,"NF",7,6,1,8,9,"NF",7,6,1,8,9,"NF",7,7,0,6,6,"NF",7,7,-1,6,5,"NF",7,7,-2,3,1,"NF",7,7,-3,2,-1,"NF",7,7,-3,2,-1,"NF",7,7,-3,2,-1,"NF",7,7,-3,2,-1
"178","Taiwan","F",2,2,34,52,"F",2,2,34,52,"F",2,1,34,54,"F",1,1,36,55,91,"F",2,1,34,55,89,"F",2,1,34,55,89,"F",2,1,35,54,89,"F",1,2,36,52,88,"F",1,2,36,51,87,"F",1,2,36,52,88,"F",1,2,36,52,88,"F",1,2,36,52,88,"F",1,2,37,51,88,"F",1,2,37,52,89,"F",1,1,37,54,91,"F",1,1,37,56,93
"179","Tajikistan","NF",6,5,10,18,"NF",6,5,10,19,"NF",6,5,9,21,"NF",6,5,9,21,30,"NF",6,5,8,20,28,"NF",6,5,9,19,28,"NF",6,5,8,19,27,"NF",6,5,8,19,27,"NF",6,5,8,18,26,"NF",6,5,8,18,26,"NF",6,6,8,16,24,"NF",6,6,8,16,24,"NF",6,6,7,15,22,"NF",7,6,2,14,16,"NF",7,6,1,10,11,"NF",7,6,1,10,11
"180","Tanzania","PF",4,3,22,36,"PF",4,3,22,36,"PF",4,3,22,36,"PF",4,3,22,36,58,"PF",4,3,22,36,58,"PF",4,3,22,36,58,"PF",4,3,22,36,58,"PF",4,3,21,36,57,"PF",3,3,28,36,64,"PF",3,3,28,36,64,"PF",3,3,28,38,66,"PF",3,3,29,35,64,"PF",3,3,28,35,63,"PF",3,4,27,33,60,"PF",3,4,25,33,58,"PF",4,4,22,30,52
"181","Thailand","F",2,3,30,42,"F",2,3,30,43,"F",2,3,30,39,"PF",3,3,29,38,67,"NF",7,4,4,32,36,"PF",6,4,8,31,39,"PF",5,4,12,32,44,"PF",5,4,12,32,44,"PF",5,4,12,30,42,"PF",4,4,21,31,52,"PF",4,4,22,31,53,"PF",4,4,22,32,54,"NF",6,5,8,25,33,"NF",6,5,7,25,32,"NF",6,5,7,25,32,"NF",6,5,6,25,31
"182","The Gambia","PF",4,4,20,34,"PF",4,4,21,33,"PF",4,4,21,34,"PF",5,4,17,32,49,"PF",5,4,17,31,48,"PF",5,4,17,31,48,"PF",5,4,16,27,43,"PF",5,5,15,24,39,"PF",5,5,15,23,38,"NF",6,5,7,17,24,"NF",6,6,7,16,23,"NF",6,6,7,14,21,"NF",6,6,7,13,20,"NF",7,6,5,13,18,"NF",6,6,8,12,20,"PF",4,5,20,21,41
"183","Tibet*","NF",7,7,1,7,"NF",7,7,1,7,"NF",7,7,-2,7,"NF",7,7,-2,5,3,"NF",7,7,-2,5,3,"NF",7,7,-2,4,2,"NF",7,7,-2,3,1,"NF",7,7,-2,3,1,"NF",7,7,-2,3,1,"NF",7,7,-2,3,1,"NF",7,7,-2,3,1,"NF",7,7,-2,3,1,"NF",7,7,-2,3,1,"NF",7,7,-2,3,1,"NF",7,7,-2,3,1,NA,NA,NA,NA,NA,NA
"184","Timor-Leste","PF",3,3,29,40,"PF",3,3,28,39,"PF",3,3,27,37,"PF",3,3,29,38,67,"PF",3,4,26,33,59,"PF",3,4,28,34,62,"PF",3,4,28,34,62,"PF",3,4,28,34,62,"PF",3,4,28,34,62,"PF",3,4,28,34,62,"PF",3,4,29,34,63,"PF",3,4,29,34,63,"PF",3,3,29,36,65,"PF",3,3,29,36,65,"PF",3,3,29,36,65,"F",2,3,32,37,69
"185","Togo","NF",6,5,9,24,"NF",6,5,8,24,"NF",6,5,8,25,"NF",6,5,7,18,25,"NF",6,5,8,21,29,"PF",5,5,14,24,38,"PF",5,5,14,25,39,"PF",5,4,16,27,43,"PF",5,4,16,26,42,"PF",5,4,17,27,44,"PF",5,4,16,27,43,"PF",4,4,18,29,47,"PF",4,4,18,29,47,"PF",4,4,18,30,48,"PF",4,4,18,30,48,"PF",4,4,18,29,47
"186","Tonga","PF",5,3,17,42,"PF",5,3,15,41,"PF",5,3,15,41,"PF",5,3,15,42,57,"PF",5,3,15,40,55,"PF",5,3,15,40,55,"PF",5,3,15,40,55,"PF",5,3,15,40,55,"PF",3,3,29,42,71,"PF",3,3,29,42,71,"F",3,2,29,44,73,"F",2,2,31,44,75,"F",2,2,31,44,75,"F",2,2,31,44,75,"F",2,2,30,44,74,"F",2,2,30,45,75
"187","Transnistria*","NF",6,6,8,16,"NF",6,6,8,16,"NF",6,5,6,17,"NF",6,6,6,15,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NF",6,6,7,15,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Trinidad and Tobago","PF",3,3,29,43,"PF",3,3,29,43,"PF",3,3,28,43,"F",3,2,28,46,74,"F",2,2,31,49,80,"F",2,2,32,49,81,"F",2,2,32,49,81,"F",2,2,32,49,81,"F",2,2,33,49,82,"F",2,2,33,48,81,"F",2,2,33,48,81,"F",2,2,33,48,81,"F",2,2,33,48,81,"F",2,2,33,48,81,"F",2,2,33,48,81,"F",2,2,33,48,81
"189","Tunisia","NF",6,5,8,20,"NF",6,5,8,19,"NF",6,5,8,18,"NF",6,5,6,18,24,"NF",6,5,6,18,24,"NF",7,5,5,18,23,"NF",7,5,5,18,23,"NF",7,5,5,18,23,"NF",7,5,5,18,23,"PF",3,4,25,33,58,"PF",3,4,26,33,59,"PF",3,3,27,36,63,"F",1,3,36,43,79,"F",1,3,37,42,79,"F",1,3,36,42,78,"F",2,3,30,40,70
"190","Turkey","PF",3,4,24,29,"PF",3,4,26,33,"PF",3,3,27,38,"PF",3,3,28,37,65,"PF",3,3,28,37,65,"PF",3,3,29,37,66,"PF",3,3,29,36,65,"PF",3,3,27,36,63,"PF",3,3,27,36,63,"PF",3,3,28,35,63,"PF",3,4,28,33,61,"PF",3,4,28,32,60,"PF",3,4,26,29,55,"PF",3,4,24,29,53,"PF",4,5,18,20,38,"NF",5,6,16,16,32
"191","Turkmenistan","NF",7,7,0,4,"NF",7,7,0,2,"NF",7,7,0,2,"NF",7,7,0,1,1,"NF",7,7,0,1,1,"NF",7,7,0,5,5,"NF",7,7,1,5,6,"NF",7,7,1,7,8,"NF",7,7,1,7,8,"NF",7,7,1,6,7,"NF",7,7,1,6,7,"NF",7,7,1,6,7,"NF",7,7,1,5,6,"NF",7,7,0,4,4,"NF",7,7,0,4,4,"NF",7,7,0,4,4
"192","Tuvalu","F",1,1,37,55,"F",1,1,37,54,"F",1,1,37,56,"F",1,1,37,57,94,"F",1,1,37,57,94,"F",1,1,37,57,94,"F",1,1,37,57,94,"F",1,1,37,57,94,"F",1,1,37,57,94,"F",1,1,37,57,94,"F",1,1,37,57,94,"F",1,1,37,57,94,"F",1,1,37,57,94,"F",1,1,37,57,94,"F",1,1,37,57,94,"F",1,1,37,57,94
"193","Uganda","PF",6,4,10,29,"PF",5,4,12,30,"PF",5,4,13,30,"PF",5,4,14,31,45,"PF",5,4,15,31,46,"PF",5,4,15,30,45,"PF",5,4,15,30,45,"PF",5,4,15,30,45,"PF",5,4,15,30,45,"PF",5,4,13,29,42,"PF",5,4,12,28,40,"PF",6,4,11,26,37,"NF",6,5,11,25,36,"NF",6,5,11,25,36,"NF",6,5,11,24,35,"PF",6,4,11,26,37
"194","Ukraine","PF",4,4,21,31,"PF",4,4,20,30,"PF",4,3,19,36,"F",3,2,27,45,72,"F",3,2,28,45,73,"F",3,2,29,44,73,"F",3,2,28,45,73,"F",3,2,28,45,73,"PF",3,3,27,40,67,"PF",4,3,23,37,60,"PF",4,3,21,36,57,"PF",4,3,20,35,55,"PF",3,3,25,37,62,"PF",3,3,25,36,61,"PF",3,3,25,36,61,"PF",3,3,26,36,62
"195","United Arab Emirates","NF",6,5,7,22,"NF",6,6,7,16,"NF",6,6,7,15,"NF",6,6,7,15,22,"NF",6,5,8,17,25,"NF",6,5,9,17,26,"NF",6,5,9,19,28,"NF",6,5,8,19,27,"NF",6,5,8,19,27,"NF",6,6,8,16,24,"NF",6,6,8,14,22,"NF",6,6,8,13,21,"NF",6,6,8,13,21,"NF",6,6,7,13,20,"NF",6,6,7,13,20,"NF",7,6,5,12,17
"196","United Kingdom","F",1,1,40,57,"F",1,1,39,58,"F",1,1,39,58,"F",1,1,39,57,96,"F",1,1,40,58,98,"F",1,1,40,57,97,"F",1,1,40,57,97,"F",1,1,40,56,96,"F",1,1,40,57,97,"F",1,1,40,56,96,"F",1,1,40,57,97,"F",1,1,40,57,97,"F",1,1,40,57,97,"F",1,1,40,55,95,"F",1,1,40,55,95,"F",1,1,40,54,94
"197","United States","F",1,1,37,55,"F",1,1,37,56,"F",1,1,38,55,"F",1,1,37,56,93,"F",1,1,38,55,93,"F",1,1,38,56,94,"F",1,1,38,56,94,"F",1,1,38,56,94,"F",1,1,38,56,94,"F",1,1,38,55,93,"F",1,1,37,56,93,"F",1,1,37,55,92,"F",1,1,37,55,92,"F",1,1,36,54,90,"F",1,1,36,53,89,"F",2,1,33,53,86
"198","Uruguay","F",1,1,36,54,"F",1,1,36,54,"F",1,1,38,55,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,40,58,98,"F",1,1,40,58,98,"F",1,1,40,58,98,"F",1,1,40,58,98,"F",1,1,40,58,98
"199","Uzbekistan","NF",7,6,3,9,"NF",7,6,3,9,"NF",7,6,2,9,"NF",7,7,0,3,3,"NF",7,7,0,3,3,"NF",7,7,0,3,3,"NF",7,7,0,3,3,"NF",7,7,0,4,4,"NF",7,7,0,4,4,"NF",7,7,0,4,4,"NF",7,7,0,4,4,"NF",7,7,0,4,4,"NF",7,7,0,4,4,"NF",7,7,0,3,3,"NF",7,7,0,3,3,"NF",7,7,1,6,7
"200","Vanuatu","F",1,2,38,45,"F",2,2,34,48,"F",2,2,34,48,"F",2,2,32,48,80,"F",2,2,32,48,80,"F",2,2,32,48,80,"F",2,2,32,48,80,"F",2,2,32,48,80,"F",2,2,32,48,80,"F",2,2,32,48,80,"F",2,2,32,47,79,"F",2,2,32,47,79,"F",2,2,32,47,79,"F",2,2,31,47,78,"F",2,2,32,48,80,"F",2,2,33,48,81
"201","Venezuela","PF",3,4,26,32,"PF",3,4,26,32,"PF",3,4,25,34,"PF",4,4,23,31,54,"PF",4,4,20,31,51,"PF",4,4,19,28,47,"PF",4,4,18,28,46,"PF",5,4,16,27,43,"PF",5,5,17,25,42,"PF",5,5,17,24,41,"PF",5,5,15,24,39,"PF",5,5,14,24,38,"PF",5,5,13,22,35,"PF",5,5,15,20,35,"NF",6,5,11,19,30,"NF",6,5,8,18,26
"202","Vietnam","NF",7,6,2,11,"NF",7,6,2,12,"NF",7,6,2,15,"NF",7,5,2,17,19,"NF",7,5,2,19,21,"NF",7,5,2,19,21,"NF",7,5,2,20,22,"NF",7,5,2,19,21,"NF",7,5,2,18,20,"NF",7,5,2,17,19,"NF",7,5,2,17,19,"NF",7,5,3,17,20,"NF",7,5,3,17,20,"NF",7,5,3,17,20,"NF",7,5,3,17,20,"NF",7,5,3,17,20
"203","Western Sahara*","NF",7,6,0,8,"NF",7,6,2,8,"NF",7,6,-2,10,"NF",7,6,-2,10,8,"NF",7,6,-2,10,8,"NF",7,6,-2,11,9,"NF",7,6,-2,11,9,"NF",7,6,-2,10,8,"NF",7,6,-2,10,8,"NF",7,7,-2,7,5,"NF",7,7,-2,7,5,"NF",7,7,-2,7,5,"NF",7,7,-2,7,5,"NF",7,7,-3,7,4,"NF",7,7,-3,7,4,"NF",7,7,-3,7,4
"204","Yemen","NF",6,5,10,17,"PF",5,5,12,23,"PF",5,5,13,22,"PF",5,5,13,18,31,"PF",5,5,14,19,33,"PF",5,5,14,20,34,"PF",5,5,15,20,35,"NF",6,5,11,18,29,"NF",6,5,11,18,29,"NF",6,6,8,15,23,"NF",6,6,9,16,25,"NF",6,6,10,16,26,"NF",6,6,9,16,25,"NF",7,6,4,13,17,"NF",7,6,2,12,14,"NF",7,6,1,12,13
"205","Yugoslavia","F",3,2,29,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Zambia","PF",4,4,20,33,"PF",4,4,23,33,"PF",4,4,23,34,"PF",4,4,22,34,56,"PF",3,4,25,34,59,"PF",3,4,26,34,60,"PF",3,3,26,35,61,"PF",3,4,26,34,60,"PF",3,4,25,33,58,"PF",3,4,29,34,63,"PF",3,4,28,34,62,"PF",3,4,25,34,59,"PF",3,4,26,34,60,"PF",3,4,26,34,60,"PF",4,4,23,33,56,"PF",4,4,22,33,55
"207","Zimbabwe","NF",6,6,6,15,"NF",6,6,6,14,"NF",7,6,5,14,"NF",7,6,5,10,15,"NF",7,6,4,9,13,"NF",7,6,5,9,14,"NF",7,6,4,8,12,"NF",6,6,7,10,17,"NF",6,6,8,13,21,"NF",6,6,8,12,20,"NF",6,6,11,14,25,"NF",5,6,12,16,28,"NF",5,6,12,16,28,"PF",5,5,12,20,32,"PF",5,5,12,20,32,"NF",6,5,10,20,30
